example_id                                  | status  | run_time        |
------------------------------------------- | ------- | --------------- |
./spec/helpers/sessions_helper_spec.rb[1:1] | pending | 0.00001 seconds |
./spec/helpers/years_helper_spec.rb[1:1]    | pending | 0 seconds       |
./spec/models/entry_spec.rb[1:1:1]          | passed  | 0.02144 seconds |
./spec/models/year_spec.rb[1:1]             | pending | 0 seconds       |
./spec/requests/sessions_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/years_spec.rb[1:1:1]        | pending | 0.00001 seconds |
./spec/system/entries_spec.rb[1:1:1]        | passed  | 1.81 seconds    |
./spec/system/entries_spec.rb[1:2:1]        | passed  | 1.66 seconds    |
./spec/system/trips_spec.rb[1:1]            | passed  | 14.07 seconds   |
